@relation features

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute Class {Not-obfuscated,Obfuscated}

@data
33,33.424242,1103,0,0.034474,27.333333,0.297371,0.137806,0.072529,0,97.555556,0.796011,0,0,0,0,0,0.000907,0,0.019946,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038078,0.083409,Not-obfuscated
75,34.333333,2575,0,0.015089,12,0.00466,0.182136,0.462524,0,36.25,0.056311,0,0,0,0,0,0,0.000388,0.000777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.041553,0.117282,Not-obfuscated
42,33.261905,1397,0,0.027537,20.85,0.298497,0.156049,0,0,142.875,0.818182,0,0,0,0,0,0.001432,0,0.013601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.007874,0.055118,Not-obfuscated
38,28.973684,1101,0,0.034738,25.181818,0.251589,0.119891,0,0,190.4,0.864668,0,0,0,0,0,0,0,0.013624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.015441,0.069028,Not-obfuscated
133,35.383459,4706,0,0.008189,7,0.007437,0.202295,0.759456,0,69.777778,0.133447,0,0,0,0,0,0.001275,0.001487,0.00255,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0.042499,0.11241,Not-obfuscated
141,33.184397,4679,0,0.008411,19.756098,0.346228,0.150673,0.054713,0,199,0.808079,0,0,0,0,0,0.001496,0.002137,0.020731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.021158,0.080573,Not-obfuscated
1382,39.160637,54120,0,0.0007,11.56,0.01068,0.213914,0.545048,0,95.598214,0.197838,5,0.000037,0,0,0,0.000111,0.00048,0.005451,1,0,1,0,0,10,0,0,1,39,0,0,0,15,0,183,2,0,1,0,34,1,0,0,0,0.064172,0.120325,Not-obfuscated
580,38.618966,22399,0,0.001687,7.583333,0.004063,0.215635,0.691549,0,67.333333,0.072146,1.5,0.000089,0,0,0,0.000089,0.000089,0.001473,0,0,0,0,0,2,0,0,0,6,0,2,0,4,0,13,0,0,0,0,6,0,0,0,0,0.061119,0.121389,Not-obfuscated
940,40.612766,38176,0,0.000972,23.905433,0.311216,0.247747,0.002698,0,360.265823,0.745521,0,0,0,0,0,0.002672,0.000052,0.016817,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,85,0,0,0,0,0.013621,0.06009,Not-obfuscated
1939,31.365652,60818,0,0.000611,22.547619,0.186853,0.228978,0.022428,0,169.896947,0.731905,0,0,0,0,0,0.000164,0.000082,0.022362,0,10,0,0,0,0,0,0,1,4,0,2,0,72,3,0,0,0,0,0,87,0,0,0,0,0.018383,0.064274,Not-obfuscated
34,37.529412,1276,0,0.03073,12,0.009404,0.162226,0.547022,0,79,0.061912,0,0,0,0,0,0.000784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.070533,0.128527,Not-obfuscated
39,37,1443,0,0.025762,19.125,0.318087,0.239085,0.084546,0,328.333333,0.682606,0,0,0,0,0,0,0,0.014553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.018711,0.071379,Not-obfuscated
188,38.691489,7274,0,0.00538,23.689655,0.283338,0.125103,0,0,274.043478,0.866511,0,0,0,0,0,0,0,0.020071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.015672,0.061589,Not-obfuscated
717,42.439331,30429,0,0.00124,11.035714,0.010155,0.237602,0.447829,0,114.934211,0.287062,0,0,0,0,0,0.001446,0.000789,0.006638,1,0,0,0,0,6,0,0,5,30,0,1,0,22,0,5,1,0,0,0,74,0,0,0,0,0.056328,0.111374,Not-obfuscated
